Players,Team,Pos.,5v5 TOI,Shots,Chances,Passes,Primary Shot Assists,Home Plate,Low-to-High,Goal Line,NZ Assist,DZ Assist,Zone Entries,Carries...15,Pass Entries,Recoveries,Exit Attempts,Zone Exits,Exits w/ Possession,Exit Assists,Fails,Targets,Carries...24,Denials,Passes Allowed,5v4 Entries,5v4 Carries,5v4 Setups,4v5 Entries,4v5 Carry Denials,5v4 Shots,5v4 Passes,5v4 Primary Setups,5v4 Cross-Slot,5v4 Low-to-High,5v4 Goal Line,Forecheck Pressures,Exit Disruptions,Carry-in%,Pass%,Exit%,Possession Exit%,Fail%,Shots/60,Passes/60...46,A1/60,Shot Contributions/60,Entries/60,Carries/60,Passes/60...51,Attempts/60,Exits/60,Possession/60,Fail/60,Assists/60,Targets/60,Carry Against%,Denial%,Passes Allowed%,Recoveries/60,5v4 Carry%,5v4 Setup%,NZ Assist/60,DZ Assist/60,Transition Plays/60,Cycle Plays/60,Slot Passes/60,Goal Line Passes/60,High Danger Passes/60,L2H Passes/60,Pressures/60,Disruptions/60
Riley Stillman,FLA,D,128.67,19,1,19,9,0,0,0,0,6,15,2,1,0,52,42,20,8,6,47,29,3,13,0,0,0,0,4,0,0,0,0,0,0,1,1,13.3%,6.7%,80.8%,38.5%,11.5%,8.86,8.86,4.2,13.06,6.99,0.93,0.47,24.25,19.59,9.33,2.8,3.73,21.92,61.7%,6.4%,44.8%,0,0.0%,0.0%,0,2.8,2.8,6.06,0,0,0,0,0.47,0.47
Aleksander Barkov,FLA,F,294.96,48,24,113,62,6,20,4,11,5,107,77,34,11,87,74,49,7,11,5,0,3,0,36,28,22,4,1,12,26,6,0,0,1,45,39,72.0%,31.8%,85.1%,56.3%,12.6%,9.76,22.99,12.61,22.38,21.77,15.66,6.92,17.7,15.05,9.97,2.24,1.42,1.02,0.0%,60.0%,0.0%,2.24,77.8%,61.1%,2.24,1.02,3.25,19.73,1.22,0.81,2.03,4.07,9.15,7.93
Aleksi Saarela,FLA,F,24.73,4,0,4,4,1,1,0,0,0,10,5,1,1,9,6,5,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,3,50.0%,10.0%,66.7%,55.6%,22.2%,9.7,9.7,9.7,19.41,24.26,12.13,2.43,21.83,14.56,12.13,4.85,0,0,0.0%,0.0%,0.0%,2.43,0.0%,0.0%,0,0,0,9.7,2.43,0,2.43,2.43,7.28,7.28
Brett Connolly,FLA,F,252.82,46,17,53,34,2,9,4,6,5,90,38,12,8,64,51,28,2,12,4,1,1,0,5,3,3,0,0,9,7,4,0,1,0,31,25,42.2%,13.3%,79.7%,43.8%,18.8%,10.92,12.58,8.07,18.99,21.36,9.02,2.85,15.19,12.1,6.65,2.85,0.47,0.95,25.0%,25.0%,0.0%,1.9,60.0%,60.0%,1.42,1.19,2.61,9.97,0.47,0.95,1.42,2.14,7.36,5.93
Brian Boyle,FLA,F,105.17,24,11,25,14,1,4,0,3,4,27,13,2,2,26,17,10,3,9,4,1,1,1,0,0,0,0,0,0,1,0,0,0,0,12,6,48.1%,7.4%,65.4%,38.5%,34.6%,13.69,14.26,7.99,21.68,15.4,7.42,1.14,14.83,9.7,5.71,5.13,1.71,2.28,25.0%,25.0%,100.0%,1.14,0.0%,0.0%,1.71,2.28,3.99,10.27,0.57,0,0.57,2.28,6.85,3.42
Colton Sceviour,FLA,F,212.12,37,11,44,34,0,9,5,5,5,91,49,13,8,60,48,25,6,11,9,4,3,3,0,0,0,11,3,0,1,1,0,0,0,43,39,53.8%,14.3%,80.0%,41.7%,18.3%,10.47,12.45,9.62,20.08,25.74,13.86,3.68,16.97,13.58,7.07,3.11,1.7,2.55,44.4%,33.3%,75.0%,2.26,0.0%,0.0%,1.41,1.41,2.83,9.62,0,1.41,1.41,2.55,12.16,11.03
Denis Malgin,FLA,F,120.41,20,9,51,36,1,12,3,4,7,39,25,10,10,29,27,23,4,1,2,0,1,0,2,2,1,1,0,0,3,3,1,1,0,13,10,64.1%,25.6%,93.1%,79.3%,3.4%,9.97,25.41,17.94,27.9,19.43,12.46,4.98,14.45,13.45,11.46,0.5,1.99,1,0.0%,50.0%,0.0%,4.98,100.0%,50.0%,1.99,3.49,5.48,19.93,0.5,1.49,1.99,5.98,6.48,4.98
Dominic Toninato,FLA,F,152.53,20,11,34,18,0,8,1,2,3,47,21,5,10,46,38,27,1,8,5,3,0,2,1,0,0,0,0,1,1,0,0,0,0,31,20,44.7%,10.6%,82.6%,58.7%,17.4%,7.87,13.37,7.08,14.95,18.49,8.26,1.97,18.1,14.95,10.62,3.15,0.39,1.97,60.0%,0.0%,66.7%,3.93,0.0%,0.0%,0.79,1.18,1.97,11.41,0,0.39,0.39,3.15,12.19,7.87
Dryden Hunt,FLA,F,71.48,16,4,19,11,1,2,0,4,2,30,15,3,6,32,29,15,2,2,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,7,4,50.0%,10.0%,90.6%,46.9%,6.3%,13.43,15.95,9.23,22.66,25.18,12.59,2.52,26.86,24.34,12.59,1.68,1.68,2.52,33.3%,33.3%,100.0%,5.04,0.0%,0.0%,3.36,1.68,5.04,10.91,0.84,0,0.84,1.68,5.88,3.36
Erik Haula,FLA,F,74.2,16,7,16,13,0,3,1,2,2,20,7,3,4,9,8,3,0,1,2,0,0,0,2,1,1,3,0,0,2,1,0,1,0,9,6,35.0%,15.0%,88.9%,33.3%,11.1%,12.94,12.94,10.51,23.45,16.17,5.66,2.43,7.28,6.47,2.43,0.81,0,1.62,0.0%,0.0%,0.0%,3.23,50.0%,50.0%,1.62,1.62,3.23,9.7,0,0.81,0.81,2.43,7.28,4.85
Evgenii Dadonov,FLA,F,290.25,47,24,84,45,2,11,8,9,9,83,57,22,14,71,59,41,5,11,8,2,2,1,20,16,13,0,0,17,28,14,7,1,0,43,37,68.7%,26.5%,83.1%,57.7%,15.5%,9.72,17.36,9.3,19.02,17.16,11.78,4.55,14.68,12.2,8.48,2.27,1.03,1.65,25.0%,25.0%,50.0%,2.89,80.0%,65.0%,1.86,1.86,3.72,13.64,0.41,1.65,2.07,2.27,8.89,7.65
Frank Vatrano,FLA,F,243.58,59,18,63,38,2,11,0,10,5,103,55,13,15,74,62,42,5,12,9,2,4,2,12,6,7,6,5,5,7,5,1,0,0,34,25,53.4%,12.6%,83.8%,56.8%,16.2%,14.53,15.52,9.36,23.89,25.37,13.55,3.2,18.23,15.27,10.35,2.96,1.23,2.22,22.2%,44.4%,100.0%,3.69,50.0%,58.3%,2.46,1.23,3.69,11.82,0.49,0,0.49,2.71,8.38,6.16
Henrik Borgstrom,FLA,F,17.95,1,0,6,5,1,1,0,0,0,3,2,1,0,4,4,2,0,0,1,0,1,0,2,2,2,0,0,0,1,0,0,0,0,NA,NA,66.7%,33.3%,100.0%,50.0%,0.0%,3.34,20.06,16.71,20.06,10.03,6.69,3.34,13.37,13.37,6.69,0,0,3.34,0.0%,100.0%,0.0%,0,100.0%,100.0%,0,0,0,20.06,3.34,0,3.34,3.34,0,0
Jayce Hawryluk,FLA,F,46.23,6,3,8,6,0,1,1,1,2,12,5,2,3,13,7,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,41.7%,16.7%,53.8%,30.8%,38.5%,7.79,10.38,7.79,15.58,15.58,6.49,2.6,16.87,9.09,5.19,6.49,5.19,0,0.0%,0.0%,0.0%,3.89,0.0%,0.0%,1.3,2.6,3.89,6.49,0,1.3,1.3,1.3,7.79,5.19
Jonathan Huberdeau,FLA,F,307.67,48,24,84,48,6,5,1,12,9,78,45,26,14,83,62,37,18,21,3,0,2,0,16,10,9,0,0,21,81,39,8,12,4,37,28,57.7%,33.3%,74.7%,44.6%,25.3%,9.36,16.38,9.36,18.72,15.21,8.78,5.07,16.19,12.09,7.22,4.1,3.51,0.59,0.0%,66.7%,0.0%,2.73,62.5%,56.3%,2.34,1.76,4.1,12.29,1.17,0.2,1.37,0.98,7.22,5.46
