Players,Team,Pos.,5v5 TOI,Shots,Chances,Passes,Primary Shot Assists,Home Plate,Low-to-High,Goal Line,NZ Assist,DZ Assist,Zone Entries,Carries...15,Pass Entries,Recoveries,Exit Attempts,Zone Exits,Exits w/ Possession,Exit Assists,Fails,Targets,Carries...24,Denials,Passes Allowed,5v4 Entries,5v4 Carries,5v4 Setups,4v5 Entries,4v5 Carry Denials,5v4 Shots,5v4 Passes,5v4 Primary Setups,5v4 Cross-Slot,5v4 Low-to-High,5v4 Goal Line,Forecheck Pressures,Exit Disruptions,Carry-in%,Pass%,Exit%,Possession Exit%,Fail%,Shots/60,Passes/60...46,A1/60,Shot Contributions/60,Entries/60,Carries/60,Passes/60...51,Attempts/60,Exits/60,Possession/60,Fail/60,Assists/60,Targets/60,Carry Against%,Denial%,Passes Allowed%,Recoveries/60,5v4 Carry%,5v4 Setup%,NZ Assist/60,DZ Assist/60,Transition Plays/60,Cycle Plays/60,Slot Passes/60,Goal Line Passes/60,High Danger Passes/60,L2H Passes/60,Pressures/60,Disruptions/60
Marcus Pettersson,PIT,D,360.55,67,4,51,30,0,1,0,4,13,29,8,3,0,163,113,45,31,39,151,89,13,34,4,1,1,0,3,12,22,10,0,0,0,19,17,27.6%,10.3%,69.3%,27.6%,23.9%,11.15,8.49,4.99,16.14,4.83,1.33,0.5,27.13,18.8,7.49,6.49,5.16,25.13,58.9%,8.6%,38.2%,0,25.0%,25.0%,0.67,2.16,2.83,5.66,0,0,0,0.17,3.16,2.83
Nick Bjugstad,PIT,F,76.52,12,2,16,11,0,4,0,0,3,27,18,6,2,28,23,13,0,4,3,1,1,0,0,0,0,0,0,1,1,0,0,0,0,15,11,66.7%,22.2%,82.1%,46.4%,14.3%,9.41,12.55,8.63,18.03,21.17,14.11,4.7,21.96,18.03,10.19,3.14,0,2.35,33.3%,33.3%,0.0%,1.57,0.0%,0.0%,0,2.35,2.35,10.19,0,0,0,3.14,11.76,8.63
Patric Hornqvist,PIT,F,210.74,31,20,32,14,0,4,1,7,1,56,20,8,10,54,48,23,3,4,4,0,3,0,13,6,8,0,0,24,14,4,0,1,0,37,26,35.7%,14.3%,88.9%,42.6%,7.4%,8.83,9.11,3.99,12.81,15.94,5.69,2.28,15.37,13.67,6.55,1.14,0.85,1.14,0.0%,75.0%,0.0%,2.85,46.2%,61.5%,1.99,0.28,2.28,6.83,0,0.28,0.28,1.14,10.53,7.4
Patrick Marleau,PIT,F,93.68,24,13,17,7,1,4,0,0,1,24,6,2,3,18,14,7,0,4,3,0,2,1,5,2,0,1,2,1,4,3,0,1,0,16,12,25.0%,8.3%,77.8%,38.9%,22.2%,15.37,10.89,4.48,19.85,15.37,3.84,1.28,11.53,8.97,4.48,2.56,0,1.92,0.0%,66.7%,0.0%,1.92,40.0%,0.0%,0,0.64,0.64,10.25,0.64,0,0.64,2.56,10.25,7.69
Sam Lafferty,PIT,F,134.13,29,11,22,16,0,3,0,3,0,50,28,8,11,43,36,14,2,6,5,4,1,2,0,0,0,0,1,0,1,1,0,0,0,24,16,56.0%,16.0%,83.7%,32.6%,14.0%,12.97,9.84,7.16,20.13,22.37,12.52,3.58,19.23,16.1,6.26,2.68,0.89,2.24,80.0%,20.0%,50.0%,4.92,0.0%,0.0%,1.34,0,1.34,8.5,0,0,0,1.34,10.74,7.16
Sidney Crosby,PIT,F,206.72,42,26,112,75,9,18,10,8,5,64,43,15,8,63,54,33,5,9,2,1,1,0,19,13,14,1,0,10,51,23,4,8,1,25,21,67.2%,23.4%,85.7%,52.4%,14.3%,12.19,32.51,21.77,33.96,18.58,12.48,4.35,18.29,15.67,9.58,2.61,1.45,0.58,50.0%,50.0%,0.0%,2.32,68.4%,73.7%,2.32,1.45,3.77,28.73,2.61,2.9,5.51,5.22,7.26,6.1
Stefan Noesen,PIT,F,8.95,1,0,1,1,0,0,0,0,0,7,2,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28.6%,14.3%,100.0%,50.0%,0.0%,6.7,6.7,6.7,13.41,46.93,13.41,6.7,13.41,13.41,6.7,0,0,0,0.0%,0.0%,0.0%,0,0.0%,0.0%,0,0,0,6.7,0,0,0,0,6.7,0
Teddy Blueger,PIT,F,271.23,31,11,74,50,4,14,10,7,9,79,29,11,19,105,90,39,4,15,13,3,7,0,2,0,0,9,4,0,1,0,0,0,0,33,27,36.7%,13.9%,85.7%,37.1%,14.3%,6.86,16.37,11.06,17.92,17.48,6.42,2.43,23.23,19.91,8.63,3.32,0.88,2.88,23.1%,53.8%,0.0%,4.2,0.0%,0.0%,1.55,1.99,3.54,12.83,0.88,2.21,3.1,3.1,7.3,5.97
Zach Aston-Reese,PIT,F,173.73,39,20,42,22,1,5,2,4,3,69,30,8,13,59,50,22,3,7,5,0,3,0,4,3,2,1,0,1,1,1,0,0,0,27,18,43.5%,11.6%,84.7%,37.3%,11.9%,13.47,14.51,7.6,21.07,23.83,10.36,2.76,20.38,17.27,7.6,2.42,1.04,1.73,0.0%,60.0%,0.0%,4.49,75.0%,50.0%,1.38,1.04,2.42,12.09,0.35,0.69,1.04,1.73,9.32,6.22
Zach Trotman,PIT,D,55.67,8,2,8,3,0,0,0,1,3,5,0,0,0,29,21,6,4,8,26,17,1,4,0,0,0,0,0,1,0,0,0,0,0,2,2,0.0%,0.0%,72.4%,20.7%,27.6%,8.62,8.62,3.23,11.86,5.39,0,0,31.26,22.63,6.47,8.62,4.31,28.02,65.4%,3.8%,23.5%,0,0.0%,0.0%,1.08,3.23,4.31,4.31,0,0,0,0,2.16,2.16
Alexander True,S.J,F,46.47,6,4,12,5,0,2,1,1,0,10,3,1,5,19,13,4,2,5,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,11,8,30.0%,10.0%,68.4%,21.1%,26.3%,7.75,15.49,6.46,14.2,12.91,3.87,1.29,24.53,16.79,5.16,6.46,2.58,2.58,0.0%,50.0%,0.0%,6.46,0.0%,0.0%,1.29,0,1.29,14.2,0,1.29,1.29,2.58,14.2,10.33
Antti Suomela,S.J,F,100.2,9,6,24,18,1,9,1,0,2,21,8,2,6,27,22,6,2,4,5,3,2,1,0,0,0,2,1,0,0,0,0,0,0,13,10,38.1%,9.5%,81.5%,22.2%,14.8%,5.39,14.37,10.78,16.17,12.58,4.79,1.2,16.17,13.17,3.59,2.4,1.2,2.99,60.0%,40.0%,33.3%,3.59,0.0%,0.0%,0,1.2,1.2,13.17,0.6,0.6,1.2,5.39,7.78,5.99
Barclay Goodrow,S.J,F,203.16,29,18,45,30,0,12,1,1,2,43,19,3,9,52,40,21,0,10,15,6,7,3,2,2,0,2,5,0,6,1,0,0,0,38,33,44.2%,7.0%,76.9%,40.4%,19.2%,8.56,13.29,8.86,17.42,12.7,5.61,0.89,15.36,11.81,6.2,2.95,0,4.43,40.0%,46.7%,50.0%,2.66,100.0%,0.0%,0.3,0.59,0.89,12.4,0,0.3,0.3,3.54,11.22,9.75
Brandon Davidson,S.J,D,45.53,6,0,5,3,0,0,0,0,2,3,0,0,0,15,9,3,3,4,25,16,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,60.0%,20.0%,26.7%,7.91,6.59,3.95,11.86,3.95,0,0,19.77,11.86,3.95,5.27,3.95,32.94,64.0%,16.0%,31.3%,0,0.0%,0.0%,0,2.64,2.64,3.95,0,0,0,0,0,0
Brenden Dillon,S.J,D,269.69,29,2,44,28,0,2,0,1,9,26,9,6,0,88,65,25,9,17,105,62,16,24,0,0,0,0,8,0,0,0,0,0,0,10,10,34.6%,23.1%,73.9%,28.4%,19.3%,6.45,9.79,6.23,12.68,5.78,2,1.33,19.58,14.46,5.56,3.78,2,23.36,59.0%,15.2%,38.7%,0,0.0%,0.0%,0.22,2,2.22,7.56,0,0,0,0.44,2.22,2.22
Brent Burns,S.J,D,421.61,119,6,61,36,2,3,0,5,16,39,23,8,0,258,198,77,32,45,169,95,31,48,19,7,8,1,9,43,62,34,1,1,1,22,22,59.0%,20.5%,76.7%,29.8%,17.4%,16.94,8.68,5.12,22.06,5.55,3.27,1.14,36.72,28.18,10.96,6.4,4.55,24.05,56.2%,18.3%,50.5%,0,36.8%,42.1%,0.71,2.28,2.99,5.69,0.28,0,0.28,0.43,3.13,3.13
Dalton Prout,S.J,D,24.75,4,0,2,2,0,0,0,0,0,0,0,0,0,11,7,1,1,4,11,7,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0%,0.0%,63.6%,9.1%,36.4%,9.7,4.85,4.85,14.55,0,0,0,26.67,16.97,2.42,9.7,2.42,26.67,63.6%,9.1%,14.3%,0,0.0%,0.0%,0,0,0,4.85,0,0,0,0,2.42,0
Danil Yurtaykin,S.J,F,11.6,1,0,1,1,0,0,0,0,0,6,3,1,0,6,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50.0%,16.7%,66.7%,33.3%,33.3%,5.17,5.17,5.17,10.34,31.03,15.52,5.17,31.03,20.69,10.34,10.34,0,0,0.0%,0.0%,0.0%,0,0.0%,0.0%,0,0,0,5.17,0,0,0,0,5.17,0
Dylan Gambrell,S.J,F,192.9,21,8,27,20,0,6,1,0,1,69,33,12,6,59,44,23,2,12,9,4,2,3,4,1,1,0,2,1,3,1,0,0,0,27,21,47.8%,17.4%,74.6%,39.0%,20.3%,6.53,8.4,6.22,12.75,21.46,10.26,3.73,18.35,13.69,7.15,3.73,0.62,2.8,44.4%,22.2%,75.0%,1.87,25.0%,25.0%,0,0.31,0.31,8.09,0,0.31,0.31,1.87,8.4,6.53
Erik Karlsson,S.J,D,254.51,56,4,60,33,0,1,0,9,11,50,26,11,1,150,113,53,20,32,88,47,16,18,14,7,5,1,2,19,56,32,0,0,0,8,4,52.0%,22.0%,75.3%,35.3%,21.3%,13.2,14.15,7.78,20.98,11.79,6.13,2.59,35.36,26.64,12.49,7.54,4.72,20.75,53.4%,18.2%,38.3%,0.24,50.0%,35.7%,2.12,2.59,4.72,9.43,0,0,0,0.24,1.89,0.94
Evander Kane,S.J,F,304.42,66,26,62,38,1,14,6,6,6,118,52,14,19,107,84,43,3,20,7,2,5,0,37,22,22,5,2,19,10,4,0,3,2,51,37,44.1%,11.9%,78.5%,40.2%,18.7%,13.01,12.22,7.49,20.5,23.26,10.25,2.76,21.09,16.56,8.48,3.94,0.59,1.38,28.6%,71.4%,0.0%,3.74,59.5%,59.5%,1.18,1.18,2.37,9.85,0.2,1.18,1.38,2.76,10.05,7.29
Jacob Middleton,S.J,D,29.38,3,0,4,1,0,0,0,0,0,6,3,1,0,15,9,4,4,5,14,8,1,3,0,0,0,0,1,0,0,0,0,0,0,2,2,50.0%,16.7%,60.0%,26.7%,33.3%,6.13,8.17,2.04,8.17,12.25,6.13,2.04,30.63,18.38,8.17,10.21,8.17,28.59,57.1%,7.1%,37.5%,0,0.0%,0.0%,0,0,0,8.17,0,0,0,0,4.08,4.08
Joe Thornton,S.J,F,287.34,26,15,101,68,1,28,7,9,3,68,40,19,15,78,58,27,9,16,12,4,6,0,7,4,3,0,0,10,40,16,2,2,2,32,27,58.8%,27.9%,74.4%,34.6%,20.5%,5.43,21.09,14.2,19.63,14.2,8.35,3.97,16.29,12.11,5.64,3.34,1.88,2.51,33.3%,50.0%,0.0%,3.13,57.1%,42.9%,1.88,0.63,2.51,18.58,0.21,1.46,1.67,5.85,6.68,5.64
Joel Kellman,S.J,F,109.67,18,7,27,17,1,4,2,1,0,23,8,2,5,32,29,20,2,3,7,3,2,1,0,0,0,0,1,0,0,0,0,0,0,16,8,34.8%,8.7%,90.6%,62.5%,9.4%,9.85,14.77,9.3,19.15,12.58,4.38,1.09,17.51,15.87,10.94,1.64,1.09,3.83,42.9%,28.6%,33.3%,2.74,0.0%,0.0%,0.55,0,0.55,14.22,0.55,1.09,1.64,2.19,8.75,4.38
Kevin Labanc,S.J,F,278.55,56,24,60,33,3,6,3,8,4,97,53,23,18,106,89,44,7,13,9,2,3,0,18,10,7,0,0,12,35,20,2,12,0,52,39,54.6%,23.7%,84.0%,41.5%,12.3%,12.06,12.92,7.11,19.17,20.89,11.42,4.95,22.83,19.17,9.48,2.8,1.51,1.94,22.2%,33.3%,0.0%,3.88,55.6%,38.9%,1.72,0.86,2.58,10.34,0.65,0.65,1.29,1.29,11.2,8.4
Lean Bergmann,S.J,F,30.32,0,0,5,2,0,0,0,1,1,10,2,1,2,9,8,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,20.0%,10.0%,88.9%,44.4%,11.1%,0,9.9,3.96,3.96,19.79,3.96,1.98,17.81,15.83,7.92,1.98,1.98,1.98,100.0%,0.0%,0.0%,3.96,0.0%,0.0%,1.98,1.98,3.96,5.94,0,0,0,0,11.87,7.92
Logan Couture,S.J,F,226.84,39,21,56,38,1,7,5,5,2,65,43,18,8,54,44,29,3,8,9,4,3,1,16,9,12,5,0,30,38,15,1,7,0,14,13,66.2%,27.7%,81.5%,53.7%,14.8%,10.32,14.81,10.05,20.37,17.19,11.37,4.76,14.28,11.64,7.67,2.12,0.79,2.38,44.4%,33.3%,25.0%,2.12,56.3%,75.0%,1.32,0.53,1.85,12.96,0.26,1.32,1.59,1.85,3.7,3.44
Lukas Radil,S.J,F,49.56,6,2,4,2,0,0,0,1,1,11,5,1,0,10,8,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,45.5%,9.1%,80.0%,40.0%,20.0%,7.26,4.84,2.42,9.69,13.32,6.05,1.21,12.11,9.69,4.84,2.42,1.21,1.21,0.0%,0.0%,0.0%,0,0.0%,0.0%,1.21,1.21,2.42,2.42,0,0,0,0,7.26,7.26
Marc-Edouard Vlasic,S.J,D,350.47,54,2,39,23,0,1,0,1,13,20,7,2,1,123,85,25,30,32,138,74,10,35,2,0,1,0,9,2,2,1,0,0,0,10,9,35.0%,10.0%,69.1%,20.3%,26.0%,9.24,6.68,3.94,13.18,3.42,1.2,0.34,21.06,14.55,4.28,5.48,5.14,23.63,53.6%,7.2%,47.3%,0.17,0.0%,50.0%,0.17,2.23,2.4,4.28,0,0,0,0.17,1.71,1.54
Marcus Sorensen,S.J,F,256.23,21,16,49,34,4,8,2,3,3,95,32,14,11,74,59,30,3,14,19,9,4,5,4,2,2,1,6,0,4,2,0,1,0,34,30,33.7%,14.7%,79.7%,40.5%,18.9%,4.92,11.47,7.96,12.88,22.25,7.49,3.28,17.33,13.82,7.03,3.28,0.7,4.45,47.4%,21.1%,55.6%,2.58,50.0%,50.0%,0.7,0.7,1.41,10.07,0.94,0.47,1.41,1.87,7.96,7.03
Mario Ferraro,S.J,D,242.99,40,3,29,15,0,2,0,1,9,20,3,1,0,105,75,29,13,23,94,60,6,24,2,1,0,0,4,2,8,4,0,0,0,11,10,15.0%,5.0%,71.4%,27.6%,21.9%,9.88,7.16,3.7,13.58,4.94,0.74,0.25,25.93,18.52,7.16,5.68,3.21,23.21,63.8%,6.4%,40.0%,0,50.0%,0.0%,0.25,2.22,2.47,4.69,0,0,0,0.49,2.72,2.47
Maxim Letunov,S.J,F,16.95,3,1,5,3,0,2,1,0,1,3,1,0,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,33.3%,0.0%,100.0%,66.7%,0.0%,10.62,17.7,10.62,21.24,10.62,3.54,0,10.62,10.62,7.08,0,3.54,0,0.0%,0.0%,0.0%,10.62,0.0%,0.0%,0,3.54,3.54,14.16,0,3.54,3.54,7.08,7.08,7.08
Melker Karlsson,S.J,F,199.43,24,11,27,22,1,6,2,5,1,57,23,9,10,61,51,20,1,8,10,3,3,0,0,0,0,3,2,0,0,0,0,0,0,16,11,40.4%,15.8%,83.6%,32.8%,13.1%,7.22,8.12,6.62,13.84,17.15,6.92,2.71,18.35,15.34,6.02,2.41,0.3,3.01,30.0%,30.0%,0.0%,3.01,0.0%,0.0%,1.5,0.3,1.81,6.32,0.3,0.6,0.9,1.81,4.81,3.31
Nikolai Knyzhov,S.J,D,20.68,3,0,2,2,0,0,0,0,1,1,0,0,0,12,9,4,2,2,9,6,0,3,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0.0%,0.0%,75.0%,33.3%,16.7%,8.7,5.8,5.8,14.5,2.9,0,0,34.81,26.11,11.6,5.8,5.8,26.11,66.7%,0.0%,50.0%,0,0.0%,0.0%,0,2.9,2.9,2.9,0,0,0,0,0,0
Noah Gregor,S.J,F,103.2,20,6,9,5,0,2,0,0,1,32,16,4,3,27,25,9,2,2,3,3,0,1,6,3,2,0,0,1,5,2,0,0,0,18,16,50.0%,12.5%,92.6%,33.3%,7.4%,11.63,5.23,2.91,14.53,18.6,9.3,2.33,15.7,14.53,5.23,1.16,1.16,1.74,100.0%,0.0%,33.3%,1.74,50.0%,33.3%,0,0.58,0.58,4.65,0,0,0,1.16,10.47,9.3
Patrick Marleau,S.J,F,204.1,23,13,31,23,0,5,3,3,2,51,21,7,13,51,45,23,1,5,3,2,0,1,7,4,5,0,0,9,3,2,0,0,1,17,14,41.2%,13.7%,88.2%,45.1%,9.8%,6.76,9.11,6.76,13.52,14.99,6.17,2.06,14.99,13.23,6.76,1.47,0.29,0.88,66.7%,0.0%,50.0%,3.82,57.1%,71.4%,0.88,0.59,1.47,7.64,0,0.88,0.88,1.47,5,4.12
Radim Simek,S.J,D,245.67,28,1,33,20,0,2,0,4,6,24,7,2,1,121,82,25,17,34,109,52,18,22,0,0,0,1,4,0,0,0,0,0,0,5,4,29.2%,8.3%,67.8%,20.7%,28.1%,6.84,8.06,4.88,11.72,5.86,1.71,0.49,29.55,20.03,6.11,8.3,4.15,26.62,47.7%,16.5%,42.3%,0.24,0.0%,0.0%,0.98,1.47,2.44,5.62,0,0,0,0.49,1.22,0.98
Stefan Noesen,S.J,F,115.27,14,6,24,16,0,6,5,2,3,40,16,3,4,36,32,14,0,4,2,1,1,1,5,1,2,0,0,7,10,6,2,2,0,28,21,40.0%,7.5%,88.9%,38.9%,11.1%,7.29,12.49,8.33,15.62,20.82,8.33,1.56,18.74,16.66,7.29,2.08,0,1.04,50.0%,50.0%,100.0%,2.08,20.0%,40.0%,1.04,1.56,2.6,9.89,0,2.6,2.6,3.12,14.57,10.93
Tim Heed,S.J,D,169.41,27,2,19,17,0,0,0,1,4,22,6,3,0,82,64,30,2,15,46,20,7,8,1,0,0,0,0,1,6,4,0,0,0,10,8,27.3%,13.6%,78.0%,36.6%,18.3%,9.56,6.73,6.02,15.58,7.79,2.13,1.06,29.04,22.67,10.63,5.31,0.71,16.29,43.5%,15.2%,40.0%,0,0.0%,0.0%,0.35,1.42,1.77,4.96,0,0,0,0,3.54,2.83
Timo Meier,S.J,F,289.68,78,41,57,39,0,10,5,7,5,117,71,19,20,99,84,52,4,14,10,1,3,0,23,14,11,2,2,16,20,8,1,6,0,56,46,60.7%,16.2%,84.8%,52.5%,14.1%,16.16,11.81,8.08,24.23,24.23,14.71,3.94,20.51,17.4,10.77,2.9,0.83,2.07,10.0%,30.0%,0.0%,4.14,60.9%,47.8%,1.45,1.04,2.49,9.32,0,1.04,1.04,2.07,11.6,9.53
Tomas Hertl,S.J,F,121.48,20,13,38,25,2,9,0,0,1,36,22,7,5,42,33,16,2,7,7,2,2,1,13,7,4,5,0,9,23,7,1,2,0,12,9,61.1%,19.4%,78.6%,38.1%,16.7%,9.88,18.77,12.35,22.23,17.78,10.87,3.46,20.74,16.3,7.9,3.46,0.99,3.46,28.6%,28.6%,50.0%,2.47,53.8%,30.8%,0,0.49,0.49,18.27,0.99,0,0.99,4.45,5.93,4.45
Alex Pietrangelo,STL,D,439.11,101,21,82,48,0,6,2,5,22,82,34,12,0,221,176,92,49,31,163,89,17,36,17,9,7,2,6,29,52,24,0,1,0,18,16,41.5%,14.6%,79.6%,41.6%,14.0%,13.8,11.2,6.56,20.36,11.2,4.65,1.64,30.2,24.05,12.57,4.24,6.7,22.27,54.6%,10.4%,40.4%,0,52.9%,41.2%,0.68,3.01,3.69,7.52,0,0.27,0.27,0.82,2.46,2.19
Alexander Steen,STL,F,190.6,25,13,33,17,0,6,1,4,6,58,20,6,12,52,46,23,2,6,12,5,5,3,2,1,0,0,4,1,1,1,0,1,0,32,29,34.5%,10.3%,88.5%,44.2%,11.5%,7.87,10.39,5.35,13.22,18.26,6.3,1.89,16.37,14.48,7.24,1.89,0.63,3.78,41.7%,41.7%,60.0%,3.78,50.0%,0.0%,1.26,1.89,3.15,7.24,0,0.31,0.31,1.89,10.07,9.13
Brayden Schenn,STL,F,353.98,48,29,82,58,4,17,4,8,7,71,41,14,14,92,72,50,12,18,6,3,2,2,13,11,7,0,0,18,42,21,3,10,1,66,60,57.7%,19.7%,78.3%,54.3%,19.6%,8.14,13.9,9.83,17.97,12.03,6.95,2.37,15.59,12.2,8.48,3.05,2.03,1.02,50.0%,33.3%,66.7%,2.37,84.6%,53.8%,1.36,1.19,2.54,11.36,0.68,0.68,1.36,2.88,11.19,10.17
Carl Gunnarsson,STL,D,222.42,26,3,21,14,1,2,0,2,6,25,9,1,1,86,60,29,17,24,81,48,7,20,0,0,0,0,4,0,0,0,0,0,0,7,5,36.0%,4.0%,69.8%,33.7%,27.9%,7.01,5.66,3.78,10.79,6.74,2.43,0.27,23.2,16.19,7.82,6.47,4.59,21.85,59.3%,8.6%,41.7%,0.27,0.0%,0.0%,0.54,1.62,2.16,3.51,0.27,0,0.27,0.54,1.89,1.35
Colton Parayko,STL,D,468.71,98,11,73,38,1,1,1,9,13,108,43,20,2,254,203,111,55,36,200,118,25,60,6,5,4,0,12,10,16,5,0,0,0,16,14,39.8%,18.5%,79.9%,43.7%,14.2%,12.54,9.34,4.86,17.41,13.83,5.5,2.56,32.51,25.99,14.21,4.61,7.04,25.6,59.0%,12.5%,50.8%,0.26,83.3%,66.7%,1.15,1.66,2.82,6.53,0.13,0.13,0.26,0.13,2.05,1.79
David Perron,STL,F,331.22,60,15,89,57,5,19,3,12,2,114,49,11,18,100,77,40,5,18,11,6,3,2,25,19,16,0,0,28,44,20,1,9,0,47,39,43.0%,9.6%,77.0%,40.0%,18.0%,10.87,16.12,10.33,21.19,20.65,8.88,1.99,18.11,13.95,7.25,3.26,0.91,1.99,54.5%,27.3%,33.3%,3.26,76.0%,64.0%,2.17,0.36,2.54,13.59,0.91,0.54,1.45,3.44,8.51,7.06
Derrick Pouliot,STL,D,10.6,2,0,0,0,0,0,0,0,0,1,1,0,0,5,5,1,3,0,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0%,0.0%,100.0%,20.0%,0.0%,11.32,0,0,11.32,5.66,5.66,0,28.3,28.3,5.66,0,16.98,22.64,75.0%,0.0%,33.3%,0,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0
Ivan Barbashev,STL,F,284.93,29,18,83,50,4,10,5,13,10,93,55,27,17,74,51,39,11,23,13,3,6,3,1,0,0,5,4,0,1,1,1,0,0,40,29,59.1%,29.0%,68.9%,52.7%,31.1%,6.11,17.48,10.53,16.64,19.58,11.58,5.69,15.58,10.74,8.21,4.84,2.32,2.74,23.1%,46.2%,100.0%,3.58,0.0%,0.0%,2.74,2.11,4.84,12.63,0.84,1.05,1.9,2.11,8.42,6.11
Jacob De La Rose,STL,F,111.74,15,5,21,13,0,4,0,3,1,31,14,2,6,19,14,8,3,5,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,19,15,45.2%,6.5%,73.7%,42.1%,26.3%,8.05,11.28,6.98,15.04,16.65,7.52,1.07,10.2,7.52,4.3,2.68,1.61,2.68,0.0%,40.0%,0.0%,3.22,0.0%,0.0%,1.61,0.54,2.15,9.13,0,0,0,2.15,10.2,8.05
Jaden Schwartz,STL,F,339.02,74,37,76,50,7,11,4,8,4,155,87,30,13,119,106,61,11,9,15,5,7,4,13,8,8,1,1,12,22,8,3,2,2,43,29,56.1%,19.4%,89.1%,51.3%,7.6%,13.1,13.45,8.85,21.95,27.43,15.4,5.31,21.06,18.76,10.8,1.59,1.95,2.65,33.3%,46.7%,80.0%,2.3,61.5%,61.5%,1.42,0.71,2.12,11.33,1.24,0.71,1.95,1.95,7.61,5.13
Jay Bouwmeester,STL,D,300.61,26,2,35,17,1,0,1,3,12,21,8,3,0,130,95,42,20,25,102,53,11,23,0,0,0,0,5,0,0,0,0,0,0,11,11,38.1%,14.3%,73.1%,32.3%,19.2%,5.19,6.99,3.39,8.58,4.19,1.6,0.6,25.95,18.96,8.38,4.99,3.99,20.36,52.0%,10.8%,43.4%,0,0.0%,0.0%,0.6,2.4,2.99,3.99,0.2,0.2,0.4,0,2.2,2.2
Jordan Kyrou,STL,F,69.72,11,3,16,8,1,3,0,2,0,21,8,4,6,25,19,14,0,5,1,0,1,0,2,2,2,0,0,1,3,2,0,1,0,14,12,38.1%,19.0%,76.0%,56.0%,20.0%,9.47,13.77,6.89,16.35,18.07,6.89,3.44,21.52,16.35,12.05,4.3,0,0.86,0.0%,100.0%,0.0%,5.16,100.0%,100.0%,1.72,0,1.72,12.05,0.86,0,0.86,2.58,12.05,10.33
Justin Faulk,STL,D,385.71,73,6,70,36,0,1,0,9,16,68,23,4,0,177,129,67,30,44,134,83,14,33,6,3,3,0,3,4,5,2,0,0,0,13,13,33.8%,5.9%,72.9%,37.9%,24.9%,11.36,10.89,5.6,16.96,10.58,3.58,0.62,27.53,20.07,10.42,6.84,4.67,20.84,61.9%,10.4%,39.8%,0,50.0%,50.0%,1.4,2.49,3.89,7,0,0,0,0.16,2.02,2.02
Klim Kostin,STL,F,15.2,3,2,6,4,0,0,0,1,1,6,4,2,0,9,6,5,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,66.7%,33.3%,66.7%,55.6%,11.1%,11.84,23.68,15.79,27.63,23.68,15.79,7.89,35.53,23.68,19.74,3.95,0,7.89,50.0%,0.0%,0.0%,0,0.0%,0.0%,3.95,3.95,7.89,15.79,0,0,0,0,11.84,11.84
Mackenzie Maceachern,STL,F,160.08,26,13,29,19,0,6,2,5,2,54,18,3,10,43,35,14,3,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,27,33.3%,5.6%,81.4%,32.6%,18.6%,9.74,10.87,7.12,16.87,20.24,6.75,1.12,16.12,13.12,5.25,3,1.12,1.5,0.0%,0.0%,0.0%,3.75,0.0%,0.0%,1.87,0.75,2.62,8.25,0,0.75,0.75,2.25,11.62,10.12
Marco Scandella,STL,D,120.67,30,0,11,8,1,0,0,1,3,13,0,0,0,50,34,19,11,15,48,24,5,8,0,0,0,0,3,0,0,0,0,0,0,9,7,0.0%,0.0%,68.0%,38.0%,30.0%,14.92,5.47,3.98,18.9,6.46,0,0,24.86,16.91,9.45,7.46,5.47,23.87,50.0%,10.4%,33.3%,0,0.0%,0.0%,0.5,1.49,1.99,3.48,0.5,0,0.5,0,4.48,3.48
Nathan Walker,STL,F,10,1,0,4,4,0,0,0,0,0,2,2,1,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100.0%,50.0%,100.0%,50.0%,0.0%,6,24,24,30,12,12,6,24,24,12,0,0,0,0.0%,0.0%,0.0%,0,0.0%,0.0%,0,0,0,24,0,0,0,0,6,6
Oskar Sundqvist,STL,F,243.41,53,26,50,26,1,7,0,6,8,85,33,7,15,74,65,41,8,9,11,4,7,2,1,0,0,10,5,1,0,0,0,0,0,50,42,38.8%,8.2%,87.8%,55.4%,12.2%,13.06,12.33,6.41,19.47,20.95,8.13,1.73,18.24,16.02,10.11,2.22,1.97,2.71,36.4%,63.6%,50.0%,3.7,0.0%,0.0%,1.48,1.97,3.45,8.87,0.25,0,0.25,1.73,12.33,10.35
