,Player_ID,Players,Season,5v5 TOI,Shots/60,A1/60,Shot Contributions/60,Entries/60,Carries/60,Exits/60,Exits w/Possession/60,Failed Exit/60,Targets/60,Carry Against/60,Denial/60,Passes Allowed/60,Team,Pos.
21,MAX.COMTOIS,Max Comtois,18,63.56,6.61,6.61,15.1,12.27,3.78,12.27,5.66,4.72,,,,,ANA,LW
21,MAX.COMTOIS,Max Comtois,19,84.5,11.36,8.52,19.88,7.1,2.13,15.62,8.52,4.26,0,0,0,0,ANA,F
284,MAX.COMTOIS,Max Comtois,20,15.46667,11.63792853,7.758619018,19.39654754,7.758619018,7.758619018,11.63792853,0,0,7.758619018,3.879309509,0,0,ANA,L
658,MAX.COMTOIS,Max Comtois,21,152.45,11.02000656,3.148573303,16.13643818,12.988,5.904,5.904,3.936,1.97,1.967858314,0.393571663,0.393571663,0,,
337,MAX.DOMI,Max Domi,18,131.19,8.69,20.12,33.39,25.15,17.84,27.44,16.92,4.57,,,,,MTL,C
455,MAX.DOMI,Max Domi,19,233.56,13.87,14.39,28.26,26.2,15.67,20.29,14.64,4.37,0.51,0.256893304,0.256893304,0,MTL,F
44,MAX.DOMI,Max Domi,20,11.13333333,10.77844312,43.11377247,75.44910182,59.28143714,26.94610779,75.44910182,37.72455091,10.77844312,0,0,0,0,CBJ,C
659,MAX.DOMI,Max Domi,21,233.55,8.220937701,10.01926782,24.91971741,16.699,8.735,6.68,5.395,1.03,1.284521516,0.513808606,0.256904303,0,,
22,MAX.JONES,Max Jones,19,189.59,9.49,4.11,13.61,12.98,6.01,11.08,4.43,1.9,1.27,0,0.632944776,0.316472388,ANA,F
692,MAX.MCCORMICK,Max McCormick,18,66.03,15.45,6.36,24.53,9.09,1.82,11.81,4.54,2.73,,,,,OTT,RW
660,MAX.MCCORMICK,Max McCormick,21,43.37,5.534204458,1.383551115,9.684857802,13.836,1.384,6.918,2.767,1.38,0,0,0,0,,
618,MAX.PACIORETTY,Max Pacioretty,18,119.28,17.1,11.07,34.21,26.66,10.56,19.11,11.57,5.03,,,,,VGK,LW
837,MAX.PACIORETTY,Max Pacioretty,19,339.67,20.84,10.42,31.27,24.73,11.84,19.25,9.54,2.12,1.06,0.176642035,0.176642035,0,VGK,F
263,MAX.PACIORETTY,Max Pacioretty,20,17.93333,13.38290212,10.03717659,23.4200787,23.4200787,3.345725529,10.03717659,3.345725529,3.345725529,0,0,0,0,VGK,L
661,MAX.PACIORETTY,Max Pacioretty,21,240.45,15.22145976,6.986899563,24.7036806,16.968,8.484,8.235,7.735,1,2.245789145,0.748596382,1.247660636,0.249532127,,
604,MAX.VERONNEAU,Max Veronneau,19,8.75,0,6.86,6.86,48,13.71,27.43,13.71,0,0,0,0,0,OTT,F
