"Name","Team","Season","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"Panthers","FLA","12-13",48,2338.17,35.09,46.61,46.91,47.28,45.27,1.62,2.99,27.56,31.58,37.9,42.9,50.46,56.26,1.98,2.39,-1.37,-4.01,-5,-5.8,-0.41,5.87,90.53
"Kings","L.A","12-13",48,2282.38,52.34,55.4,56.09,56.83,55.63,2.26,2.06,30.03,24.18,43.46,34.02,57.74,43.87,2.35,1.87,0.2,5.86,9.44,13.87,0.48,7.53,91.48
"Wild","MIN","12-13",48,2316.15,46.73,50.18,49.43,49.5,52.39,2.06,2.35,27.06,26.87,36.9,37.75,49.67,50.66,2.1,1.91,-0.29,0.2,-0.85,-1,0.19,7.61,91.26
"Canadiens","MTL","12-13",48,2192.12,56.02,53.48,54.12,53.55,55.38,2.68,2.1,30.15,26.23,42.48,36.01,58.64,50.87,2.32,1.87,0.58,3.92,6.47,7.77,0.45,8.88,91.99
"Devils","N.J","12-13",48,2252.07,45.46,53.75,55.22,55.4,55.3,1.65,1.98,26.33,22.66,37.43,30.35,50.05,40.29,2.14,1.73,-0.33,3.67,7.07,9.76,0.41,6.27,91.25
"Predators","NSH","12-13",48,2346.28,46.36,47.21,46.48,45.75,49.54,1.88,2.18,24.6,27.52,33.8,38.92,45.27,53.68,1.93,1.96,-0.3,-2.91,-5.12,-8.4,-0.04,7.65,92.08
"Islanders","NYI","12-13",48,2350.28,49.61,52.79,51.05,50.21,52.25,2.41,2.45,30.1,26.93,40.74,39.07,55.58,55.12,2.6,2.38,-0.04,3.18,1.67,0.46,0.22,8.01,90.9
"Rangers","NYR","12-13",48,2328.9,57.29,54.04,53.42,51.9,53.16,2.32,1.73,31.25,26.58,43.05,37.53,57.95,53.7,2.59,2.29,0.59,4.68,5.52,4.25,0.31,7.41,93.5
"Senators","OTT","12-13",48,2265.38,50.23,52.27,52.85,53.81,52.93,1.93,1.92,32.39,29.57,45,40.15,61.75,53.01,2.36,2.1,0.02,2.82,4.86,8.75,0.26,5.97,93.52
"Flyers","PHI","12-13",48,2202.67,46.4,49.28,48,47.78,47.66,2.23,2.57,28.01,28.83,38.81,42.04,53.18,58.13,2.12,2.33,-0.35,-0.81,-3.23,-4.94,-0.21,7.95,91.07
"Penguins","PIT","12-13",48,2263.12,59.43,51.04,50.91,50.19,52.39,2.86,1.95,30.04,28.82,41.4,39.92,55.49,55.06,2.3,2.09,0.91,1.22,1.48,0.43,0.21,9.52,93.23
"Sharks","S.J","12-13",48,2306.82,50.39,51.99,52.13,51.46,53.95,1.99,1.96,30,27.7,42.86,39.36,58.72,55.39,2.41,2.05,0.03,2.3,3.5,3.33,0.35,6.63,92.94
"Blues","STL","12-13",48,2300.77,51.9,53.71,53.42,52.31,50.57,2.17,2.01,27.48,23.68,38.47,33.55,51.65,47.1,1.97,1.93,0.16,3.8,4.92,4.56,0.04,7.9,91.51
"Lightning","T.B","12-13",48,2281.17,51.16,47.34,46.64,46.51,48.65,2.67,2.55,27.33,30.4,37.72,43.16,49.81,57.28,2.05,2.17,0.12,-3.07,-5.44,-7.48,-0.11,9.77,91.62
"Maple Leafs","TOR","12-13",48,2273.17,52.24,44.62,44.68,44.87,45.43,2.75,2.52,26.15,32.45,37.38,46.29,51.63,63.43,2.01,2.41,0.24,-6.3,-8.91,-11.8,-0.4,10.53,92.24
"Canucks","VAN","12-13",48,2257.67,50.76,49.57,50.91,52.14,50.03,2.18,2.12,27.63,28.1,39.01,37.61,53.43,49.05,2.17,2.16,0.07,-0.48,1.4,4.38,0,7.91,92.46
"Jets","WPG","12-13",48,2354.68,47.5,48.58,49.16,49.34,48.55,2.33,2.57,27.9,29.53,40.6,41.99,55.83,57.33,2.33,2.46,-0.24,-1.63,-1.38,-1.5,-0.14,8.35,91.28
"Capitals","WSH","12-13",48,2289.75,51.8,47.42,48.76,48.95,49.36,2.39,2.22,27.89,30.93,39,40.98,53.99,56.32,2.21,2.27,0.17,-3.03,-1.98,-2.33,-0.06,8.57,92.81
"Ducks","ANA","13-14",82,3842.62,58.62,51.91,50.68,50.45,52.16,2.95,2.08,30.15,27.93,41.9,40.78,55.53,54.53,2.5,2.29,0.87,2.22,1.12,1,0.21,9.78,92.55
"Coyotes","ARI","13-14",82,3911.52,50.41,49.73,49.86,50.43,47.16,2.1,2.06,29.14,29.46,40.69,40.92,55.17,54.24,2.01,2.26,0.03,-0.32,-0.23,0.93,-0.24,7.2,93
"Bruins","BOS","13-14",82,3993.08,61.93,53.97,54.56,55.25,54.76,2.65,1.63,31.89,27.2,44.3,36.89,59.97,48.57,2.3,1.9,1.02,4.69,7.41,11.4,0.4,8.3,94.02
"Sabres","BUF","13-14",82,3890.6,36.37,41.96,41.47,41.43,41.7,1.46,2.55,24.61,34.04,33.47,47.23,44.77,63.29,1.81,2.53,-1.09,-9.43,-13.76,-18.52,-0.72,5.93,92.5
"Hurricanes","CAR","13-14",82,3937.62,47.37,49.25,49.23,49.8,48.7,2.06,2.29,30.15,31.06,42.59,43.93,57.56,58.02,2.41,2.54,-0.23,-0.91,-1.34,-0.46,-0.13,6.85,92.62
"Blue Jackets","CBJ","13-14",82,3838,51.97,49.82,50.29,50.51,51.69,2.3,2.12,28.94,29.15,39.29,38.84,52.91,51.84,2.05,1.92,0.17,-0.21,0.45,1.07,0.13,7.94,92.71
"Flames","CGY","13-14",82,3993.28,43.82,47.29,47.14,45.57,45.83,2.03,2.61,25.74,28.7,36.23,40.62,49.12,58.68,1.94,2.29,-0.57,-2.96,-4.39,-9.55,-0.35,7.9,90.91
"Blackhawks","CHI","13-14",82,3995.27,55.4,56.04,55.94,56.15,55.9,2.73,2.2,32.83,25.75,43.74,34.45,59.41,46.4,2.49,1.96,0.53,7.07,9.29,13.02,0.53,8.33,91.46
"Avalanche","COL","13-14",82,3956.88,53.28,47.92,46.97,47.33,47.04,2.5,2.19,28.59,31.07,38.72,43.72,52.19,58.08,2.13,2.4,0.31,-2.48,-5,-5.89,-0.27,8.75,92.94
