Players,Sum of 5v5 TOI,5v5 Entries,Carry-ins,Failed Entries,Entries w/ Passing Play...6,Recovered Dump-ins,Carries w/Chances,Dump-ins w/ Chances,Forecheck Pressures,Entries/60,Carries/60,Carry%,Pass%...14,Carry Chance%,Pressures/60,Recoveries/60,Entries w/ Chances per 60,Entries w/ Passing Play...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,Player,Sum of 5v5 TOI2,Entry Targets,Carrires Against,Entry Denials,Passes Allowed,Carries w/ Chance Allowed,Dump-in w/ Chance Allowed,Carry Against%,Denial%,Pass%...39,Chance Against%,Targets per 60,Carries Against per 60,Denials per 60,Chances Allowed per 60,...45,...46,...47,...48,...49,...50,...51,...52,...53,...54,...55,...56
Alex Turcotte,18.36666667,3,1,2,1,1,0,0,3,9.8,3.267,33.3%,33.3%,0.0%,9.8,3.27,0,3.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brendan Guhle,15.15,5,3,2,1,0,0,60.00%,40.0%,33.3%,0.0%,19.8019802,11.88118812,7.920792079,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Vlasic,65.96666667,10,3,2,0,0,0,1,0,9.096,2.729,30.0%,0.0%,0.0%,0,0,0.91,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brendan Smith,200.217,59,26,10,10,7,0,44.07%,16.9%,38.5%,11.9%,17.68084575,7.791559144,2.996753517,2.097727462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Wennberg,401.6,105,77,14,29,23,18,2,22,15.687,11.504,73.3%,27.6%,23.4%,3.29,3.44,2.99,4.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brenden Dillon,561.5333333,220,126,13,39,28,9,57.27%,5.9%,31.0%,16.8%,23.50706399,13.46313665,1.389053781,3.953460762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alexander Barabanov,310.1833333,97,49,23,16,10,12,5,19,18.763,9.478,50.5%,16.5%,24.5%,3.68,1.93,3.29,3.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brent Burns,478.6833333,209,117,27,40,31,7,55.98%,12.9%,34.2%,18.2%,26.19685944,14.66522753,3.384283277,4.763065353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alexander Edler,256.4166667,13,4,0,1,0,0,1,3,3.042,0.936,30.8%,7.7%,0.0%,0.7,0,0.23,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brett Kulak,363.4833333,130,63,25,20,11,2,48.46%,19.2%,31.7%,10.0%,21.45903068,10.3993764,4.126736668,2.145903068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alexander Holtz,26.33,6,3,3,1,1,1,0,3,13.671,6.835,50.0%,16.7%,33.3%,6.84,2.28,2.28,2.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brett Pesce,500.333,165,83,27,15,10,6,50.30%,16.4%,18.1%,9.7%,19.78680879,9.953364424,3.237841439,1.918720853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alexander Kerfoot,461.6333333,139,80,16,20,33,18,4,42,18.066,10.398,57.6%,14.4%,22.5%,5.46,4.29,2.86,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brian Dumoulin,599.7166667,253,166,34,49,38,8,65.61%,13.4%,29.5%,18.2%,25.31195287,16.60784259,3.401606314,4.602173248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alexander Radulov,317.35,63,29,8,6,15,9,1,22,11.911,5.483,46.0%,9.5%,31.0%,4.16,2.84,1.89,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cal Foote,294.0166667,100,60,4,14,12,1,60.00%,4.0%,23.3%,13.0%,20.40700641,12.24420384,0.816280256,2.652910833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alexander Romanov,369.65,22,10,3,1,0,0,2,4,3.571,1.623,45.5%,4.5%,0.0%,0.65,0,0.32,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cale Fleury,70.31666667,31,17,2,4,3,2,54.84%,6.5%,23.5%,16.1%,26.45176582,14.50580706,1.706565537,4.266413842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alexander True,24.05,8,2,0,0,4,0,1,1,19.958,4.99,25.0%,0.0%,0.0%,2.49,9.98,2.49,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cale Makar,743.85,254,146,32,36,27,3,57.48%,12.6%,24.7%,11.8%,20.48800161,11.77656786,2.581165558,2.41984271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alexandre Carrier,464.33,57,14,6,5,1,4,5,5,7.365,1.809,24.6%,8.8%,28.6%,0.65,0.13,1.16,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,Caleb Jones,265.4833333,119,64,19,17,10,2,53.78%,16.0%,26.6%,10.1%,26.89434365,14.46418482,4.294054868,2.712034654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alexandre Texier,140.72,34,20,5,6,8,6,3,9,14.497,8.528,58.8%,17.6%,30.0%,3.84,3.41,3.84,2.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,Calen Addison,113.55,31,22,2,7,6,0,70.97%,6.5%,31.8%,19.4%,16.38044914,11.62483487,1.05680317,3.170409511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alexei Toropchenko,82.85,31,13,3,1,3,3,3,9,22.45,9.415,41.9%,3.2%,23.1%,6.52,2.17,4.35,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,Calle Rosen,80.81666667,39,23,5,3,2,2,58.97%,12.8%,13.0%,10.3%,28.95442359,17.07568571,3.712105589,2.969684471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alexis Lafrenière,434.6666667,121,63,15,11,13,9,6,48,16.702,8.696,52.1%,9.1%,14.3%,6.63,1.79,2.07,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,Calvin de Haan,358.6,141,89,11,32,19,5,63.12%,7.8%,36.0%,17.0%,23.59174568,14.89124373,1.840490798,4.015616286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aliaksei Protas,138.55,28,12,4,1,7,3,0,14,12.126,5.197,42.9%,3.6%,25.0%,6.06,3.03,1.3,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cam Dineen,74.58333333,27,20,1,6,10,0,74.07%,3.7%,30.0%,37.0%,21.72067039,16.08938548,0.804469274,8.044692738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anders Bjork,140.3,27,17,6,5,7,2,0,9,11.547,7.27,63.0%,18.5%,11.8%,3.85,2.99,0.86,2.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cam Fowler,436.3166667,158,84,15,21,22,5,53.16%,9.5%,25.0%,17.1%,21.72733871,11.55124336,2.062722029,3.712899652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anders Lee,472.5833333,101,54,12,10,20,11,3,43,12.823,6.856,53.5%,9.9%,20.4%,5.46,2.54,1.78,1.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cam York,80.6,27,13,5,3,4,0,48.15%,18.5%,23.1%,14.8%,20.09925558,9.677419355,3.722084367,2.977667494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andre Burakovsky,568.38,169,112,28,40,30,30,2,39,17.84,11.823,66.3%,23.7%,26.8%,4.12,3.17,3.38,4.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carl Dahlstrom,23.51666667,7,2,2,0,0,0,28.57%,28.6%,0.0%,0.0%,17.85967399,5.102763997,5.102763997,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andreas Athanasiou,155.4166667,40,27,11,4,8,11,2,10,15.442,10.424,67.5%,10.0%,40.7%,3.86,3.09,5.02,1.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carson Soucy,282.6166667,96,47,11,9,6,3,48.96%,11.5%,19.1%,9.4%,20.38096361,9.978180102,2.335318747,1.910715339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andreas Johnsson,336.67,97,54,15,19,15,11,2,35,17.287,9.624,55.7%,19.6%,20.4%,6.24,2.67,2.32,3.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,Casey Fitzgerald,154.4333333,64,38,10,5,7,2,59.38%,15.6%,13.2%,14.1%,24.86509821,14.76365206,3.885171595,3.496654436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andrei Svechnikov,465.07,139,83,13,22,38,29,7,48,17.933,10.708,59.7%,15.8%,34.9%,6.19,4.9,4.64,2.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chad Ruhwedel,445.6666667,129,72,11,21,13,6,55.81%,8.5%,29.2%,14.7%,17.36724009,9.693343306,1.48092745,2.557965595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andrej Sekera,122.5333333,9,3,2,1,0,0,1,1,4.407,1.469,33.3%,11.1%,0.0%,0.49,0,0.49,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,Charlie McAvoy,530.4,190,97,32,25,14,6,51.05%,16.8%,25.8%,10.5%,21.49321267,10.97285068,3.619909502,2.262443439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andrej Sustr,153.8,9,5,1,3,0,0,0,4,3.511,1.951,55.6%,33.3%,0.0%,1.56,0,0,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chase Priskie,9.55,2,1,1,0,0,0,50.00%,50.0%,0.0%,0.0%,12.56544503,6.282722513,6.282722513,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andrew Cogliano,267.5,59,27,4,10,14,5,2,32,13.234,6.056,45.8%,16.9%,18.5%,7.18,3.14,1.57,2.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chris Wideman,233.6166667,66,38,4,9,9,2,57.58%,6.1%,23.7%,16.7%,16.9508454,9.759577655,1.027323964,2.8251409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andrew Copp,469.88,137,80,22,25,24,25,6,44,17.494,10.215,58.4%,18.2%,31.3%,5.62,3.06,3.96,3.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,Christian Jaros,31.17,17,14,1,4,3,0,82.35%,5.9%,28.6%,17.6%,32.72727273,26.95187166,1.92513369,5.77540107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andrew Ladd,162.5,40,21,5,6,6,4,1,8,14.769,7.754,52.5%,15.0%,19.0%,2.95,2.22,1.85,2.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,Christian Wolanin,13.28333333,8,5,0,0,2,0,62.50%,0.0%,0.0%,25.0%,36.13550816,22.5846926,0,9.033877039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andrew Mangiapane,408.35,130,87,17,25,27,19,4,39,19.101,12.783,66.9%,19.2%,21.8%,5.73,3.97,3.38,3.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,Christopher Tanev,576.1,216,108,22,31,21,13,50.00%,10.2%,28.7%,15.7%,22.49609443,11.24804721,2.291268877,3.541051901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andrew Peeke,404.97,27,6,0,2,0,0,1,4,4,0.889,22.2%,7.4%,0.0%,0.59,0,0.15,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cody Ceci,671.65,205,137,19,37,26,5,66.83%,9.3%,27.0%,15.1%,18.31310951,12.23851709,1.697312588,2.769299486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
