"Name","Team","Season","GP","TOI","W","L","OL","ROW","Points","Points%","GF","GA","G±","Sh%","Sv%"
"Red Wings","DET","18-19",82,4997,32,40,10,29,74,45.1,227,277,-50,9.4,90.1
"Red Wings","DET","21-22",82,4982.1,32,40,10,29,74,45.1,230,312,-82,9.4,88.8
"Sharks","S.J","19-20",70,4233.4,29,36,5,27,63,45,182,226,-44,8.6,89.5
"Canucks","VAN","20-21",56,3389.2,23,29,4,20,50,44.6,151,188,-37,9.1,90
"Islanders","NYI","10-11",82,5013.1,30,39,13,26,73,44.5,229,264,-35,9.3,90.2
"Canucks","VAN","17-18",82,4973,31,40,11,31,73,44.5,218,264,-46,8.8,90.2
"Red Wings","DET","17-18",82,4984,30,39,13,25,73,44.5,217,255,-38,8.5,90.3
"Senators","OTT","21-22",82,4967,33,42,7,30,73,44.5,227,266,-39,9.1,90.4
"Panthers","FLA","10-11",82,5004.1,30,40,12,26,72,43.9,195,229,-34,7.7,91.5
"Devils","N.J","18-19",82,4984.4,31,41,10,28,72,43.9,222,275,-53,8.8,89.6
"Flames","CGY","12-13",48,2901.2,19,25,4,19,42,43.8,128,160,-32,9.9,88.9
"Hurricanes","CAR","12-13",48,2898.4,19,25,4,18,42,43.8,128,160,-32,8.2,89.7
"Kings","L.A","20-21",56,3390.6,21,28,7,20,49,43.8,143,170,-27,8.9,90.3
"Sharks","S.J","20-21",56,3409.3,21,28,7,16,49,43.8,151,199,-48,8.7,89.1
"Senators","OTT","19-20",71,4322.9,25,34,12,24,62,43.7,191,243,-52,8.7,90
"Kings","L.A","07-08",82,4976.9,32,43,7,NA,71,43.3,231,266,-35,9.6,90
"Lightning","T.B","07-08",82,4963.4,31,42,9,NA,71,43.3,223,267,-44,9.4,88.5
"Hurricanes","CAR","14-15",82,4999,30,41,11,25,71,43.3,188,226,-38,7.3,90.2
"Canadiens","MTL","17-18",82,4979.7,29,40,13,27,71,43.3,209,264,-55,7.7,90.3
"Kings","L.A","18-19",82,4980.7,31,42,9,28,71,43.3,202,263,-61,8.4,90
"Red Wings","DET","20-21",56,3403.1,19,27,10,17,48,42.9,127,171,-44,8.2,90.6
"Blue Jackets","CBJ","20-21",56,3419.8,18,26,12,15,48,42.9,137,187,-50,8.2,89.9
"Predators","NSH","12-13",48,2929.4,16,23,9,14,41,42.7,111,139,-28,8.8,90
"Oilers","EDM","15-16",82,4981.9,31,43,8,27,70,42.7,203,245,-42,8.3,90.5
"Devils","N.J","16-17",82,4987.6,28,40,14,25,70,42.7,183,244,-61,7.9,90.6
"Coyotes","ARI","16-17",82,4985.8,30,42,10,24,70,42.7,197,260,-63,8.4,90.8
"Coyotes","ARI","17-18",82,4999.2,29,41,12,27,70,42.7,208,256,-48,8.4,90.5
"Avalanche","COL","08-09",82,4989.7,32,45,5,NA,69,42.1,199,257,-58,8.1,89.3
"Maple Leafs","TOR","15-16",82,4996.5,29,42,11,23,69,42.1,198,246,-48,7.6,90.4
"Canucks","VAN","16-17",82,4979.6,30,43,9,26,69,42.1,182,243,-61,7.8,90.8
"Lightning","T.B","12-13",48,2904.3,18,26,4,17,40,41.7,148,150,-2,11.1,89.9
"Avalanche","COL","10-11",82,4990.5,30,44,8,24,68,41.5,227,288,-61,9.2,89
"Maple Leafs","TOR","14-15",82,4990,30,44,8,25,68,41.5,211,262,-51,8.6,90.6
"Blackhawks","CHI","21-22",82,4996.3,28,42,12,22,68,41.5,219,291,-72,9,89.3
"Oilers","EDM","13-14",82,4981.9,29,44,9,25,67,40.9,203,270,-67,9,90.1
"Senators","OTT","17-18",82,4985.1,28,43,11,26,67,40.9,221,291,-70,8.7,89.5
"Avalanche","COL","12-13",48,2930.5,16,25,7,14,39,40.6,116,152,-36,8.1,90.1
"Lightning","T.B","08-09",82,5008.2,24,40,18,NA,66,40.2,210,279,-69,8.9,90
"Panthers","FLA","13-14",82,4996.9,29,45,8,21,66,40.2,196,268,-72,7.7,89.7
"Devils","N.J","20-21",56,3402.9,19,30,7,19,45,40.2,145,194,-49,9,89.1
